ordering_levels,total_samples,jt_statistic,jt_pvalue,supports_expected,expected_direction,finding,trend_variable,trend_label,value_variable,value_label,scenario,rule_count,model_id,model_name
"0,1,2,3",4,0.5,0.07096451774112944,False,decreasing,No significant monotonic decreasing trend detected (p=0.071).,example_count,example count,false_tool_count,False Tool Count,1,1,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,2.0,0.3798100949525237,False,decreasing,No significant monotonic decreasing trend detected (p=0.38).,example_count,example count,false_tool_count,False Tool Count,1,1,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2433783108445777,False,decreasing,No significant monotonic decreasing trend detected (p=0.243).,example_count,example count,false_tool_count,False Tool Count,1,1,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,0.5,0.07896051974012994,False,decreasing,No significant monotonic decreasing trend detected (p=0.079).,example_count,example count,false_tool_count,False Tool Count,1,2,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,4.0,0.8380809595202399,False,decreasing,No significant monotonic decreasing trend detected (p=0.838).,example_count,example count,false_tool_count,False Tool Count,1,2,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2493753123438281,False,decreasing,No significant monotonic decreasing trend detected (p=0.249).,example_count,example count,false_tool_count,False Tool Count,1,2,-4,gpt-oss (20.9 B)
"0,1,2,3",4,0.5,0.08945527236381809,False,decreasing,No significant monotonic decreasing trend detected (p=0.0895).,example_count,example count,false_tool_count,False Tool Count,1,3,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,3.5,0.7471264367816092,False,decreasing,No significant monotonic decreasing trend detected (p=0.747).,example_count,example count,false_tool_count,False Tool Count,1,3,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2563718140929535,False,decreasing,No significant monotonic decreasing trend detected (p=0.256).,example_count,example count,false_tool_count,False Tool Count,1,3,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,2.5,0.4827586206896552,False,decreasing,No significant monotonic decreasing trend detected (p=0.483).,example_count,example count,false_tool_count,False Tool Count,1,3,-4,gpt-oss (20.9 B)
"0,1,2,3",4,0.5,0.0864567716141929,False,decreasing,No significant monotonic decreasing trend detected (p=0.0865).,example_count,example count,false_tool_count,False Tool Count,1,4,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.24037981009495252,False,decreasing,No significant monotonic decreasing trend detected (p=0.24).,example_count,example count,false_tool_count,False Tool Count,1,4,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2658670664667666,False,decreasing,No significant monotonic decreasing trend detected (p=0.266).,example_count,example count,false_tool_count,False Tool Count,1,4,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.18490754622688654,False,decreasing,No significant monotonic decreasing trend detected (p=0.185).,example_count,example count,false_tool_count,False Tool Count,1,5,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.0,0.04697651174412794,True,decreasing,Evidence for decreasing False Tool Count with higher example count (p=0.047).,example_count,example count,false_tool_count,False Tool Count,1,5,-2,llama 3.1 (8 B)
"0,1,2,3",4,0.0,0.04897551224387806,True,decreasing,Evidence for decreasing False Tool Count with higher example count (p=0.049).,example_count,example count,false_tool_count,False Tool Count,1,6,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,2.5,0.5147426286856571,False,decreasing,No significant monotonic decreasing trend detected (p=0.515).,example_count,example count,false_tool_count,False Tool Count,1,6,-2,llama 3.1 (8 B)
"0,1,2,3",4,2.5,0.5147426286856571,False,decreasing,No significant monotonic decreasing trend detected (p=0.515).,example_count,example count,false_tool_count,False Tool Count,1,6,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.16441779110444776,False,decreasing,No significant monotonic decreasing trend detected (p=0.164).,example_count,example count,false_tool_count,False Tool Count,1,7,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,2.0,0.35932033983008493,False,decreasing,No significant monotonic decreasing trend detected (p=0.359).,example_count,example count,false_tool_count,False Tool Count,1,7,-2,llama 3.1 (8 B)
"0,1,2,3",4,0.0,0.04847576211894053,True,decreasing,Evidence for decreasing False Tool Count with higher example count (p=0.0485).,example_count,example count,false_tool_count,False Tool Count,1,8,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,2.5,0.49775112443778113,False,decreasing,No significant monotonic decreasing trend detected (p=0.498).,example_count,example count,false_tool_count,False Tool Count,1,8,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.25737131434282856,False,decreasing,No significant monotonic decreasing trend detected (p=0.257).,example_count,example count,false_tool_count,False Tool Count,1,8,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.16241879060469766,False,decreasing,No significant monotonic decreasing trend detected (p=0.162).,example_count,example count,false_tool_count,False Tool Count,1,9,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,2.0,0.39080459770114945,False,decreasing,No significant monotonic decreasing trend detected (p=0.391).,example_count,example count,false_tool_count,False Tool Count,1,9,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.0,0.16691654172913542,False,decreasing,No significant monotonic decreasing trend detected (p=0.167).,example_count,example count,false_tool_count,False Tool Count,1,9,-4,gpt-oss (20.9 B)
"0,1,2,3",4,2.0,0.38780609695152424,False,decreasing,No significant monotonic decreasing trend detected (p=0.388).,example_count,example count,false_tool_count,False Tool Count,1,10,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.0,0.041979010494752625,True,decreasing,Evidence for decreasing False Tool Count with higher example count (p=0.042).,example_count,example count,false_tool_count,False Tool Count,1,10,-2,llama 3.1 (8 B)
"0,1,2,3",4,4.5,1.0,False,decreasing,No significant monotonic decreasing trend detected (p=1).,example_count,example count,false_tool_count,False Tool Count,1,10,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,0.0,0.038980509745127435,True,decreasing,Evidence for decreasing False Tool Count with higher example count (p=0.039).,example_count,example count,false_tool_count,False Tool Count,1,11,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,2.5,0.495752123938031,False,decreasing,No significant monotonic decreasing trend detected (p=0.496).,example_count,example count,false_tool_count,False Tool Count,1,11,-2,llama 3.1 (8 B)
"0,1,2,3",4,4.5,1.0,False,decreasing,No significant monotonic decreasing trend detected (p=1).,example_count,example count,false_tool_count,False Tool Count,1,11,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,0.5,0.08445777111444278,False,decreasing,No significant monotonic decreasing trend detected (p=0.0845).,example_count,example count,false_tool_count,False Tool Count,1,12,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,3.5,0.7566216891554223,False,decreasing,No significant monotonic decreasing trend detected (p=0.757).,example_count,example count,false_tool_count,False Tool Count,1,12,-2,llama 3.1 (8 B)
"0,1,2,3",4,4.5,1.0,False,decreasing,No significant monotonic decreasing trend detected (p=1).,example_count,example count,false_tool_count,False Tool Count,1,12,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,2.0,0.3428285857071464,False,decreasing,No significant monotonic decreasing trend detected (p=0.343).,example_count,example count,false_tool_count,False Tool Count,1,12,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.1729135432283858,False,decreasing,No significant monotonic decreasing trend detected (p=0.173).,example_count,example count,false_tool_count,False Tool Count,1,13,-1,llama 3.2 (3.2 B)
