ordering_levels,total_samples,jt_statistic,jt_pvalue,supports_expected,expected_direction,finding,trend_variable,trend_label,value_variable,value_label,scenario,example_count,model_id,model_name
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,40.0,0.5822088955522239,False,increasing,No significant monotonic increasing trend detected (p=0.582).,rule_count,rule count,correct_output_format,Correct Output Format,1,0,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,57.0,1.0,False,increasing,No significant monotonic increasing trend detected (p=1).,rule_count,rule count,correct_output_format,Correct Output Format,1,0,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,39.0,0.5177411294352824,False,increasing,No significant monotonic increasing trend detected (p=0.518).,rule_count,rule count,correct_output_format,Correct Output Format,1,0,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,42.0,0.7691154422788605,False,increasing,No significant monotonic increasing trend detected (p=0.769).,rule_count,rule count,correct_output_format,Correct Output Format,1,1,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,40.0,0.6056971514242878,False,increasing,No significant monotonic increasing trend detected (p=0.606).,rule_count,rule count,correct_output_format,Correct Output Format,1,1,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,45.0,0.8210894552723638,False,increasing,No significant monotonic increasing trend detected (p=0.821).,rule_count,rule count,correct_output_format,Correct Output Format,1,1,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,39.0,0.559720139930035,False,increasing,No significant monotonic increasing trend detected (p=0.56).,rule_count,rule count,correct_output_format,Correct Output Format,1,2,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,35.0,0.28085957021489255,False,increasing,No significant monotonic increasing trend detected (p=0.281).,rule_count,rule count,correct_output_format,Correct Output Format,1,2,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,42.0,0.7486256871564217,False,increasing,No significant monotonic increasing trend detected (p=0.749).,rule_count,rule count,correct_output_format,Correct Output Format,1,3,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,45.0,1.0,False,increasing,No significant monotonic increasing trend detected (p=1).,rule_count,rule count,correct_output_format,Correct Output Format,2,0,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,28.0,0.015492253873063468,True,increasing,Evidence for increasing Correct Output Format with higher rule count (p=0.0155).,rule_count,rule count,correct_output_format,Correct Output Format,2,0,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,57.0,1.0,False,increasing,No significant monotonic increasing trend detected (p=1).,rule_count,rule count,correct_output_format,Correct Output Format,2,0,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,33.0,0.07246376811594203,False,increasing,No significant monotonic increasing trend detected (p=0.0725).,rule_count,rule count,correct_output_format,Correct Output Format,2,0,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,39.0,0.5517241379310345,False,increasing,No significant monotonic increasing trend detected (p=0.552).,rule_count,rule count,correct_output_format,Correct Output Format,2,1,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,35.0,0.23388305847076463,False,increasing,No significant monotonic increasing trend detected (p=0.234).,rule_count,rule count,correct_output_format,Correct Output Format,2,2,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,43.0,0.8525737131434283,False,increasing,No significant monotonic increasing trend detected (p=0.853).,rule_count,rule count,correct_output_format,Correct Output Format,2,2,-4,gpt-oss (20.9 B)
