ordering_levels,total_samples,jt_statistic,jt_pvalue,supports_expected,expected_direction,finding,trend_variable,trend_label,value_variable,value_label,scenario,rule_count,model_id,model_name
"0,1,2,3",4,1.5,0.2593703148425787,False,increasing,No significant monotonic increasing trend detected (p=0.259).,example_count,example count,correct_output_format,Correct Output Format,1,1,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.26036981509245377,False,increasing,No significant monotonic increasing trend detected (p=0.26).,example_count,example count,correct_output_format,Correct Output Format,1,2,-2,llama 3.1 (8 B)
"0,1,2,3",4,2.5,0.487256371814093,False,increasing,No significant monotonic increasing trend detected (p=0.487).,example_count,example count,correct_output_format,Correct Output Format,1,2,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.16141929035482258,False,increasing,No significant monotonic increasing trend detected (p=0.161).,example_count,example count,correct_output_format,Correct Output Format,1,3,-2,llama 3.1 (8 B)
"0,1,2,3",4,2.0,0.3278360819590205,False,increasing,No significant monotonic increasing trend detected (p=0.328).,example_count,example count,correct_output_format,Correct Output Format,1,3,-4,gpt-oss (20.9 B)
"0,1,2,3",4,5.0,1.0,False,increasing,No significant monotonic increasing trend detected (p=1).,example_count,example count,correct_output_format,Correct Output Format,1,4,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.24737631184407796,False,increasing,No significant monotonic increasing trend detected (p=0.247).,example_count,example count,correct_output_format,Correct Output Format,1,5,-4,gpt-oss (20.9 B)
"0,1,2,3",4,2.0,0.33683158420789605,False,increasing,No significant monotonic increasing trend detected (p=0.337).,example_count,example count,correct_output_format,Correct Output Format,1,6,-4,gpt-oss (20.9 B)
"0,1,2,3",4,3.5,0.7471264367816092,False,increasing,No significant monotonic increasing trend detected (p=0.747).,example_count,example count,correct_output_format,Correct Output Format,1,7,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.2433783108445777,False,increasing,No significant monotonic increasing trend detected (p=0.243).,example_count,example count,correct_output_format,Correct Output Format,1,7,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.2593703148425787,False,increasing,No significant monotonic increasing trend detected (p=0.259).,example_count,example count,correct_output_format,Correct Output Format,1,8,-2,llama 3.1 (8 B)
"0,1,2,3",4,2.5,0.5032483758120939,False,increasing,No significant monotonic increasing trend detected (p=0.503).,example_count,example count,correct_output_format,Correct Output Format,1,8,-4,gpt-oss (20.9 B)
"0,1,2,3",4,3.5,0.7546226886556722,False,increasing,No significant monotonic increasing trend detected (p=0.755).,example_count,example count,correct_output_format,Correct Output Format,1,9,-4,gpt-oss (20.9 B)
"0,1,2,3",4,2.5,0.5027486256871564,False,increasing,No significant monotonic increasing trend detected (p=0.503).,example_count,example count,correct_output_format,Correct Output Format,1,10,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.26436781609195403,False,increasing,No significant monotonic increasing trend detected (p=0.264).,example_count,example count,correct_output_format,Correct Output Format,1,10,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.0,0.18190904547726136,False,increasing,No significant monotonic increasing trend detected (p=0.182).,example_count,example count,correct_output_format,Correct Output Format,1,10,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.25237381309345325,False,increasing,No significant monotonic increasing trend detected (p=0.252).,example_count,example count,correct_output_format,Correct Output Format,1,11,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.25987006496751625,False,increasing,No significant monotonic increasing trend detected (p=0.26).,example_count,example count,correct_output_format,Correct Output Format,1,11,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.2608695652173913,False,increasing,No significant monotonic increasing trend detected (p=0.261).,example_count,example count,correct_output_format,Correct Output Format,1,11,-4,gpt-oss (20.9 B)
